vague_phrases,scores
GPX files can be marked `` public '' by the uploader ; this is completely unrelated to the option of making one 's edits `` public '' .,1.4
We also have an Acceptable Use Policy covering various types of server usage .,2.0
"Note that some other types of Accounts used by developers/community do expose email address information more publicly ( due to technical limitations of the software used , rather than policy decisions ) The Trac system exposes your email address in plaintext on the page if the email address ( rather than the display name ) is used to login .",3.4
It may be used by these people to contact users directly about their edits or other OpenStreetMap related issues .,3.6
"In general all of this information is also made available to everyone via the website , including links to allow everyone to easily cross-reference which user has made which edit .",2.4
"You can find out more about this , on the Anonymous edits page .",2.2
"It describes what personal information we may be gathering from you , who can see this information , and what options you have for controlling this .",2.8
"The registered email address for an OSM user account , will never intentionally be published on the internet anywhere , shared with third party organisations , or revealed directly to other logged in users .",2.6
"Development of the software behind OpenStreetMap , is a community effort , with many developers involved and work taking place on many separate components .",2.5
"Generally a good level of care is being taken to ensure that personal information of mappers contributing to the project , will not fall into the wrong hands .",3.2
This has come about as a series of independent decisions within the design of the various components .,2.8
If a GPS trace is marked as public when it is uploaded then the raw trace may be downloaded from the web site or using an API call .,2.4
The information from use of these technical methods may be collected in a form that is personally identifiable .,3.2
"We will disclose personal information when we believe in good faith that such disclosures ( a ) are required by law , including , for example , to comply with a court order or subpoena , or ( b ) will help to : enforce our Terms of Use ; enforce contest , sweepstakes , promotions , and/or game rules ; protect your safety or security , including the safety and security of property that belongs to you ; and/or , protect the safety and security of our Sites or third parties .",2.0
"If we purchase a business , the personally identifiable information received with that business would be treated in accordance with this Privacy Policy , if it is practicable and permissible to do so .",1.8
"What choices do you have about the collection , use , and sharing of your personally identifiable information",1.6
How Long Does Company Keep Your Personally Identifiable Information,1.2
"If at any time you decide to remove your personal information from our database , you may do so by doing the following :",1.6
Pokmon respects the privacy rights of our online visitors and recognizes the importance of protecting all information that you may choose to share with us .,2.2
How is your personally identifiable information used and shared ?,2.0
What kinds of security measures do we take to safeguard your personally identifiable information ?,1.8
"We do n't share , sell , or rent your personal information to third parties without your prior consent .",2.2
"However , if you prefer not to disclose personal information , you will not be able to enjoy certain features of our Sites .",2.4
"Whatever the purpose may be , we will only collect information to the extent reasonably necessary to fulfill your requests and our legitimate business objectives .",3.2
You always may disable these features or withdraw your consent to providing your Location Information .,1.75
"If you are under 13 , then your parent or guardian can choose to post your username , full name , or first name and last initial in the Player Rankings .",1.0
"In most cases , these are independent third parties and not Pokmon employees .",2.0
"Building on our general Privacy Policy , we recognize the need to provide additional privacy protections when children visit the Sites on which this Kids ' Privacy Policy is posted .",2.0
"The Children 's Online Privacy Protection Act ( `` COPPA '' ) requires that we inform parents and legal guardians about how we collect , use , and disclose personal information from children under 13 years of age ; and that we obtain the consent of parents and guardians in order for children under 13 years of age to use certain features of our Sites .",2.6
"In the event of a merger , sale of assets , acquisition , dissolution , reorganization , bankruptcy , change of control or other similar event , your personally identifiable information may be transferred to our successor or assign , if permitted by and done in accordance with applicable law , or if we sell one or more of our businesses , your personally identifiable information may be transferred as a part of the sale .",3.8
What kinds of security measures do we take to safeguard your personally identifiable information,1.4
"You can access and update the contact information you gave us during registration ( that is , your e-mail address or any other information that would directly enable us to contact you ) , as follows :",1.0
"If you contact us , please include the name of the Sites you used to register and the email address you used to register with us so we can verify your request .",1.2
"When you apply to be or serve as a POP organizer , you agree that we may use any personal information submitted to or collected by us may be used for any lawful business purpose .",3.4
We may share this personal information with independent third parties who run POP events so that they can contact the POP organizers about participating in those events and other POP matters .,3.2
These independent third parties may not have agreed to abide by the terms of this Privacy Policy .,2.6
You should ask about such third parties ' privacy policies .,1.6
address and location based information ( where necessary for the provision of services ),2.25
"Additionally , we may also collect other types of non-personal information ( known as demographic information ) such as your age , gender , the country where you live , dates of birth , hobbies , and toy and game ownership preferences .",2.8
This demographic information may be associated with your personal information .,2.8
"When a child under the age of 13 attempts to register with our Sites , we send their parent an e-mail notifying them that their child would like to register , and asking them to visit our Sites to grant consent for their child to register .",1.2
"How can parents access , change or delete personally identifiable information about their kids ?",1.6
"At any time , a parent can contact our customer service department to access , change or delete the personal information that we have collected from his or her kid as follows :",1.4
We may use your child 's information provided by the parent or with the parent 's consent to allow your child to send questions or request customer support .,2.2
We may collect personal information from parents to allow kids to participate in certain activities offered on our Sites and within our kids ' subscription products .,2.6
"Given the nature of this information , no restrictions apply under this Privacy Policy on our right to aggregate or de-personalize your personal information , and we may use and share in any way with third parties the resulting non-personally identifiable information .",3.6
We may amend our Kids ' Privacy Policy at any time .,2.2
"Detect , investigate , and prevent activities that may violate our policies or be illegal .",1.8
"Finally , we may take your personally identifiable information and make it non-personally identifiable , either by combining it with information about other individuals ( aggregating your information with information about other individuals ) , or by removing characteristics ( such as your name ) that make the information personally identifiable to you ( de-personalizing your information ) .",3.4
"Personalize your newsletters , offers and promotions for our products and services , third party products and services , or special events .",2.0
"Personalize the advertising you receive , including advertising based on your activity on our Sites or activity on third party sites and applications .",2.0
You may always opt-out of having your child receive these promotional messages .,1.4
What types of personally identifiable information do we collect about our guests ?,2.0
"We have established this privacy policy ( Privacy Policy ) to let you know the kinds of personal information we may gather during your visit to these Sites , why we gather your information , what we use your personal information for , when we might disclose your personal information , and how you can manage your personal information .",3.2
The ESRB 's Privacy Online Program is designed to ensure that our pokemon.com website information disclosure practices are responsible and appropriate .,1.8
What types of personally identifiable information do we collect about our guests,1.4
"If you enable that feature , your current location will be stored locally on your device which will be used by the Sites to serve you certain content tied to your location .",2.0
We may collect and store your device 's source IP address which may disclose the location of your device at the time you access the Sites .,2.0
We may combine this information with personally identifiable information .,2.8
"In addition , in some cases the Sites can deliver content based on your current location if you choose to enable that feature .",2.25
Advertisements and certain content could be directed to you as a result of this data .,2.25
"At times , we also use IP addresses to collect information regarding the frequency with which our guests visit various parts of our Sites .",1.8
"An IP address is often associated with the portal through which you enter the Internet , like your ISP ( Internet Service Provider ) , your company , or your university .",1.4
We do not share our customer 's personal information with unaffiliated third parties for their own direct marketing purposes .,2.6
We may amend this Privacy Policy at any time .,2.8
This demographic information may be associated with a kid 's personal information that Pokemon has collected in accordance with law .,2.4
"We also use some passive technologies , including cookies and web beacons , to monitor traffic on our Sites .",2.6
"We may collect demographic information ( date of birth , gender , and preferences ) and combine it with the child 's personal information .",2.2
Note that all commercial sites directed to children under 13 are prohibited by U.S. law from conditioning a kid 's participation in an online activity on the kid 's providing more personal information than is reasonably necessary .,3.0
"As a result , Pokemon will not collect more personal information than is reasonably necessary .",3.0
"Among them , we may collect age , gender , hobbies , interests or other demographic information about gaming and preferences , and the country where a kid lives .",2.6
"For example , if a kid participates in a survey , we may collect those responses .",2.0
"Pokmon may also access certain data from the application , including without limitation the user supplied information and device information , for statistical analysis .",1.8
"In the course of providing such services , these companies may have access to your personally identifying information .",2.8
We may only use and share your Location Information in conjunction with our right described in Disclosures Required By Law and Disclosures to Help Protect the Security and Safety of Our Sites and Others below and to :,2.2
How long does Pokemon keep your personally identifiable information ?,2.0
"What choices do you have about the collection , use , and sharing of your personally identifiable information ?",2.2
"How can you ask questions , or send us comments , about this Privacy Policy ?",1.0
How can you update your personal information and profile ?,1.4
"Please note that this Privacy Policy applies only to information submitted and collected online , and does not apply to information that may be collected by Pokmon offline .",2.0
"Since 2005 , California Civil Code Section 1798.83 permits our customers who are California residents to request certain information regarding our disclosure of personal information to third parties for their direct marketing purposes .",2.8
Please note that the ESRB is not affiliated with Pokmon and can not help you with non-privacy-related issues .,1.8
"How can you ask questions , or send us comments , about this Privacy Policy",1.4
"If you contact us , please include the name of the Sites you used to register and the email address you used to register with us so we can verify your request .",1.6
"If you have questions or wish to send us comments about a Privacy Policy posted on one of our Sites , you can contact us as follows :",1.8
address and location based information ( where necessary for the provision of services ),1.6
"Finally , we may collect demographic information about a kid .",3.0
"If you turn cookies off , you wo n't have access to many features that make your experience smoother , like the features mentioned above , and some of our services may not function properly .",3.4
"You can choose to have your computer warn you each time a cookie is being sent , or you can choose to turn off all cookies .",2.0
You can do this through your browser ( like Mozilla Firefox or Internet Explorer ) settings .,2.4
"However , if you prefer not to disclose Location Information , you will not be able to enjoy certain features of our Sites .",2.0
"Typically , this information includes :",1.6
"We receive information from our guests and , with our guests ' consent , from third parties such as Pokmon Organized Play ( `` POP '' ) tournament organizers .",2.2
